City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,queenstown,-31.8976,26.8753,11.38,90,100,2.15,ZA,1702234518
1,jamestown,42.097,-79.2353,4.77,84,100,3.09,US,1702234212
2,bethel,41.3712,-73.414,14.07,91,100,2.57,US,1702234443
3,whitehorse,60.7161,-135.0538,-16.22,82,75,1.03,CA,1702234472
4,isafjordur,66.0755,-23.124,-1.98,74,40,1.54,IS,1702234459
5,kingston,17.997,-76.7936,32.36,58,20,9.26,JM,1702234298
6,segovia,41.1667,-4.0,8.02,92,88,3.04,ES,1702234520
7,santa ana de yacuma,-13.75,-65.4333,34.97,49,75,6.17,BO,1702234520
8,chinde,26.8418,88.0763,10.15,75,33,1.58,NP,1702234521
9,vilyuchinsk,52.9306,158.4028,1.15,100,100,7.66,RU,1702234468
10,papatowai,-46.5619,169.4708,10.07,63,20,2.83,NZ,1702234483
11,kapuskasing,49.4169,-82.4331,-4.95,86,100,6.17,CA,1702234322
12,waitangi,-43.9535,-176.5597,12.12,88,0,0.45,NZ,1702234441
13,dudinka,69.4058,86.1778,-27.99,97,100,5.36,RU,1702234494
14,selfoss,63.9331,-20.9971,-2.2,78,100,2.53,IS,1702234523
15,edinburgh of the seven seas,-37.0676,-12.3116,13.42,69,100,6.34,SH,1702234441
16,aasiaat,68.7098,-52.8699,-5.71,95,100,7.44,GL,1702234524
17,longyearbyen,78.2186,15.6401,-0.09,69,75,6.69,SJ,1702234256
18,tinajo,29.0788,-13.7081,21.49,68,0,1.54,ES,1702234524
19,christchurch,-43.5333,172.6333,12.75,72,6,2.06,NZ,1702233995
20,blackmans bay,-43.0167,147.3167,10.41,78,95,0.45,AU,1702234459
21,lompoc,34.6391,-120.4579,20.99,44,0,3.09,US,1702234525
22,uturoa,-16.7333,-151.4333,26.82,81,59,10.14,PF,1702234526
23,chonchi,-42.6128,-73.8092,18.56,60,99,1.31,CL,1702234469
24,port-aux-francais,-49.35,70.2167,3.47,76,41,10.26,TF,1702234451
25,college,64.8569,-147.8028,-21.17,70,75,1.54,US,1702234480
26,ribeira grande,38.5167,-28.7,18.22,77,40,7.72,PT,1702234349
27,juneau,58.3019,-134.4197,1.0,95,100,3.6,US,1702234347
28,venice,27.0998,-82.4543,27.93,81,75,7.72,US,1702234424
29,arawa,-6.2132,155.5367,24.83,93,100,0.86,PG,1702234528
30,ushuaia,-54.8,-68.3,9.81,50,0,9.26,AR,1702234449
31,kodiak,57.79,-152.4072,0.73,100,100,1.54,US,1702234272
32,adamstown,-25.066,-130.1015,20.92,60,0,4.45,PN,1702234441
33,albany,42.6001,-73.9662,12.75,90,100,0.89,US,1702234411
34,demba,-5.51,22.2667,21.93,82,100,0.48,CD,1702234530
35,long beach,33.767,-118.1892,24.1,19,0,2.06,US,1702234531
36,alwar,27.5667,76.6,15.28,34,5,1.01,IN,1702234531
37,puerto natales,-51.7236,-72.4875,11.25,62,75,8.23,CL,1702234440
38,dongfeng,42.6403,125.5118,-13.39,39,100,4.08,CN,1702234532
39,port mathurin,-19.6833,63.4167,26.4,75,55,3.76,MU,1702234492
40,kurchatov,51.6601,35.6521,-3.66,95,100,4.28,RU,1702234533
41,fruita,39.1589,-108.729,1.99,52,100,2.06,US,1702234533
42,keflavik,64.0049,-22.5624,2.24,75,75,5.14,IS,1702234328
43,humaita,-7.5061,-63.0208,35.84,39,77,0.92,BR,1702234535
44,grytviken,-54.2811,-36.5092,5.97,82,100,6.33,GS,1702234457
45,aykhal,66.0,111.5,-28.16,99,100,1.77,RU,1702234365
46,puerto ayora,-0.7393,-90.3518,28.98,76,31,4.35,EC,1702234442
47,namibe,-15.1961,12.1522,23.04,78,33,3.75,AO,1702234456
48,bubaque,11.2833,-15.8333,30.17,49,100,1.15,GW,1702234537
49,minas de marcona,-15.2119,-75.1103,21.3,56,100,5.83,PE,1702234371
50,brokopondo,4.75,-55.1667,31.5,54,99,1.23,SR,1702234538
51,mount isa,-20.7333,139.5,23.87,46,100,7.72,AU,1702234538
52,hermanus,-34.4187,19.2345,18.42,70,0,6.11,ZA,1702234450
53,meiganga,6.5167,14.3,23.65,31,2,2.36,CM,1702234539
54,machico,32.7,-16.7667,22.23,88,75,1.03,PT,1702234539
